init_id,part_number,title,sbt_price,cost,has_stock,stock_eta,description,applications,sku
22-112C,,,,,False,,,,SD0150
62-308-1,,,,,False,,,,{53: 'SD1246'}
62-109-1,,,,,False,,,,{66: 'SD1394'}
62-110-1,,,,,False,,,,{107: 'SD2333'}
62-402T-1,,,,,False,,,,{134: 'SD2854'}
62-403-1,,,,,False,,,,{139: 'SD2866'}
62-402S-1,,,,,False,,,,{166: 'SD3460'}
60A-205C,,,,,False,,,,{186: 'SD3739'}
12-141B,,,,,False,,,,{472: 'SD11779'}
12-141S,,,,,False,,,,{474: 'SD11784'}
12-141R,,,,,False,,,,{475: 'SD11789'}
12-141NY,,,,,False,,,,{476: 'SD11792'}
85-801,,,,,False,,,,{479: 'SD11821'}
85-806,,,,,False,,,,{482: 'SD11858'}
85-810,,,,,False,,,,{502: 'SD12947'}
85-819,,,,,False,,,,{506: 'SD12953'}
37-110A,,,,,False,,,,{719: 'SD18158'}
37-110B,,,,,False,,,,{722: 'SD18199'}
16-305K,,,,,False,,,,{761: 'SD19519'}
47-112-1,,,,,False,,,,{1135: 'SD29688'}
62-210-1,,,,,False,,,,{1222: 'SD31672'}
27-4420,,,,,False,,,,{1248: 'SD32726'}
47-112-1,,,,,False,,,,{1422: 'SD69990'}
62-304-1,,,,,False,,,,{1603: 'SD78207'}
62-109-1,,,,,False,,,,{1880: 'SD00004340'}
